Particle	Model	Fit_Rank	Constraint_Rank	Final_Rank
1	2	1	1	1
1	1	1	1	1
1	3	1	1	1
2	1	2	1	2
2	2	2	1	2
2	3	2	1	2
3	3	3	2	3
3	2	3	2	3
3	1	3	2	3
5	1	5	1	4
4	1	4	2	5
4	2	4	2	5
5	2	6	1	6
5	3	6	1	6
4	3	5	2	7
6	1	7	1	8
6	2	8	1	9
6	3	9	1	10
7	1	10	2	11
7	2	10	2	11
7	3	10	2	11
8	1	11	2	12
8	2	11	2	12
8	3	11	2	12
