Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.92426739e+03  2.99225926e+03  2.33496900e+00  2.23820000e-02  2.18569000e-01  4.60925000e-01  1.96040000e-02  1.22718900e+00  
Particle_2      2.99225926e+03  3.08566801e+03  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  1.96040000e-02  1.22718900e+00  
Particle_3      7.94743821e+03  8.02913159e+03  2.33496900e+00  2.06980000e-02  2.28324000e-01  3.68390000e-02  1.15200000e-03  1.44866000e-01  
Particle_4      8.02913159e+03  8.09115684e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_5      9.18666115e+03  9.35662630e+03  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  1.15200000e-03  1.22718900e+00  
Particle_6      9.35662630e+03  9.35662654e+03  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.23900000e-03  1.22718900e+00  
Particle_7      9.35662654e+03  9.52163065e+03  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.93060000e-02  1.44866000e-01  
Particle_8      9.94711352e+03  9.94711359e+03  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.15200000e-03  1.22718900e+00  
