Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      9.94711359e+03  9.94711359e+03  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  1.15200000e-03  1.22718900e+00  
Particle_2      1.03522073e+04  1.03522073e+04  3.15316905e+02  6.36600000e-03  1.40370000e-02  4.60925000e-01  1.06700000e-03  1.22718900e+00  
Particle_3      1.57149773e+04  1.57149773e+04  3.15316905e+02  1.61385487e+02  1.28840000e-02  3.63480000e-02  1.15200000e-03  1.22718900e+00  
Particle_4      1.60148992e+04  1.60148992e+04  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  5.13150000e-02  7.39100000e-03  
Particle_5      1.62500902e+04  1.62500902e+04  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  1.15200000e-03  1.22718900e+00  
Particle_6      1.62861369e+04  1.64125332e+04  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.23900000e-03  1.22718900e+00  
Particle_7      1.64270865e+04  1.65865271e+04  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.93060000e-02  1.44866000e-01  
Particle_8      1.67542124e+04  1.67573093e+04  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.15200000e-03  1.22718900e+00  
