Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      9.94711359e+03  1.57149773e+04  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_2      1.57149773e+04  1.60148992e+04  8.34497000e-01  6.36600000e-03  3.59374400e+00  2.09290000e-02  1.93060000e-02  1.44866000e-01  
Particle_3      1.62500902e+04  1.62861369e+04  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  5.13150000e-02  7.39100000e-03  
Particle_4      1.64270865e+04  1.65865271e+04  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_5      1.67542124e+04  1.69905021e+04  4.45120000e-02  1.90000000e-03  9.04755740e+02  3.02100000e-03  7.69400000e-03  3.00500000e-03  
Particle_6      1.70001552e+04  1.70034208e+04  6.49600000e-03  5.95800020e+02  6.28583940e+01  2.61852000e-01  3.24200000e-03  6.82037160e+01  
Particle_7      1.70035004e+04  1.71076854e+04  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.15200000e-03  1.22718900e+00  
Particle_8      1.71195331e+04  1.71294290e+04  1.30787000e-01  5.46433830e+01  2.72242058e+02  1.83400000e-03  5.31605569e+02  3.08760000e-02  
Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.79081062e+03  2.79081062e+03  2.33496900e+00  2.23820000e-02  1.97261000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_2      2.79081079e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_3      2.92426739e+03  2.92426739e+03  2.33496900e+00  2.37350000e-02  1.97261000e-01  4.82630000e-01  1.96040000e-02  1.22718900e+00  
Particle_4      2.92426739e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  2.11437000e-01  4.82630000e-01  1.96040000e-02  1.21502200e+00  
Particle_5      2.92426739e+03  2.92426739e+03  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  1.15200000e-03  1.22718900e+00  
Particle_6      2.92426740e+03  2.92426740e+03  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.23900000e-03  1.22718900e+00  
Particle_7      2.94019701e+03  2.98815023e+03  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.93060000e-02  1.44866000e-01  
Particle_8      2.99225926e+03  2.99225926e+03  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.15200000e-03  1.22718900e+00  
