Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.53597864e+03  2.53597864e+03  9.70342000e-01  2.31310000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.52989200e+00  
Particle_2      2.53597864e+03  2.53597864e+03  1.06476200e+00  2.31310000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.52989200e+00  
Particle_3      2.53597864e+03  2.53597865e+03  9.70342000e-01  2.43740000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.52989200e+00  
Particle_4      2.53597865e+03  2.53597871e+03  9.70342000e-01  2.43740000e-02  1.27350000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_5      2.53597871e+03  2.53597871e+03  9.70342000e-01  2.31310000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.52989200e+00  
Particle_6      2.53597871e+03  2.53597873e+03  9.70342000e-01  2.43740000e-02  1.36180000e-02  1.98210000e-02  1.98940000e-02  1.52989200e+00  
Particle_7      2.53597873e+03  2.53597873e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.52989200e+00  
Particle_8      2.53597873e+03  2.53597873e+03  9.70342000e-01  2.43740000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.52989200e+00  
