Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.55903023e+03  2.56900575e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_2      2.56900575e+03  2.56900575e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.96900000e-02  1.52989200e+00  
Particle_3      2.56900575e+03  2.56900575e+03  9.57314000e-01  2.44580000e-02  1.40370000e-02  1.94200000e-02  1.84200000e-02  1.52989200e+00  
Particle_4      2.56900575e+03  2.56900575e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_5      2.56900575e+03  2.56900575e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_6      2.56900575e+03  2.56900575e+03  9.57314000e-01  2.40770000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_7      2.56900575e+03  2.56900579e+03  9.70342000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_8      2.56900579e+03  2.56900583e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.75890000e-02  1.98940000e-02  1.52989200e+00  
