Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.57162082e+03  2.61396138e+03  9.29628000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_2      2.61396138e+03  2.61396148e+03  9.29628000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_3      2.61396148e+03  2.61396148e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_4      2.61396148e+03  2.61396148e+03  9.29628000e-01  2.57890000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_5      2.61396148e+03  2.61396148e+03  9.29628000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_6      2.61396148e+03  2.61396148e+03  9.29628000e-01  2.36390000e-02  1.40370000e-02  2.06210000e-02  1.98940000e-02  1.44706600e+00  
Particle_7      2.61396148e+03  2.61396148e+03  9.29628000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_8      2.61396148e+03  2.61396148e+03  8.92002000e-01  2.52110000e-02  1.40370000e-02  1.94200000e-02  1.81970000e-02  1.44706600e+00  
