Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.46709654e+03  2.46827418e+03  9.59916000e-01  2.56890000e-02  1.10660000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_2      2.46827418e+03  2.46827418e+03  9.59916000e-01  2.64810000e-02  1.15990000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_3      2.46827418e+03  2.46827422e+03  9.59916000e-01  2.56890000e-02  1.10660000e-02  2.06980000e-02  1.86700000e-02  1.34159700e+00  
Particle_4      2.46827422e+03  2.46827425e+03  9.59916000e-01  2.56890000e-02  1.15990000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_5      2.46827425e+03  2.46827425e+03  9.59916000e-01  2.64810000e-02  1.10660000e-02  1.98260000e-02  1.86700000e-02  1.39570900e+00  
Particle_6      2.46827425e+03  2.47430926e+03  9.59916000e-01  2.66910000e-02  1.10660000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_7      2.47430926e+03  2.47430930e+03  1.05088800e+00  2.64810000e-02  1.15990000e-02  1.98210000e-02  1.86700000e-02  1.53127600e+00  
Particle_8      2.47430930e+03  2.47430930e+03  9.59916000e-01  2.64810000e-02  1.10660000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
