Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      3.10474601e+03  3.10474601e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_2      3.10474601e+03  5.20428171e+03  8.24998000e-01  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_3      5.20428171e+03  5.20428176e+03  8.34497000e-01  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_4      5.20428176e+03  5.20428176e+03  8.34497000e-01  6.36600000e-03  1.40370000e-02  1.94200000e-02  5.13150000e-02  1.22445200e+00  
Particle_5      5.20428176e+03  5.20428176e+03  8.34497000e-01  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_6      5.20428176e+03  5.20428176e+03  8.34497000e-01  5.89100000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_7      5.20428176e+03  5.20428176e+03  8.34497000e-01  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_8      5.20428176e+03  5.20428176e+03  8.34497000e-01  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
