Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.47430930e+03  2.47430930e+03  9.59916000e-01  2.56890000e-02  1.15990000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_2      2.47430930e+03  2.47430930e+03  9.59916000e-01  2.56890000e-02  1.15990000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_3      2.47430930e+03  2.47430941e+03  9.70342000e-01  2.56890000e-02  1.26150000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_4      2.47430941e+03  2.47648713e+03  9.59916000e-01  2.64810000e-02  1.15990000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_5      2.47648713e+03  2.51184950e+03  9.70342000e-01  2.56890000e-02  1.26150000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_6      2.51184950e+03  2.51184950e+03  9.59916000e-01  2.56890000e-02  1.26150000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_7      2.51184950e+03  2.51184950e+03  9.70342000e-01  2.56890000e-02  1.15990000e-02  2.06980000e-02  1.86700000e-02  1.32272200e+00  
Particle_8      2.51184950e+03  2.51184950e+03  9.07029000e-01  2.74810000e-02  1.17750000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
