Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.44555824e+03  2.44629613e+03  9.59916000e-01  2.32910000e-02  1.10240000e-02  2.03970000e-02  1.80190000e-02  1.34159700e+00  
Particle_2      2.44629613e+03  2.44629614e+03  9.59916000e-01  2.32910000e-02  1.10240000e-02  2.03970000e-02  1.80190000e-02  1.34159700e+00  
Particle_3      2.44629614e+03  2.44629614e+03  9.59916000e-01  2.36700000e-02  1.10240000e-02  2.05620000e-02  1.80190000e-02  1.34159700e+00  
Particle_4      2.44629614e+03  2.44629614e+03  9.59916000e-01  2.32910000e-02  1.10240000e-02  2.06770000e-02  1.80190000e-02  1.34159700e+00  
Particle_5      2.44629614e+03  2.44629614e+03  9.59916000e-01  2.36700000e-02  1.10240000e-02  2.03970000e-02  1.80190000e-02  1.34159700e+00  
Particle_6      2.44629614e+03  2.44629616e+03  9.59916000e-01  2.32910000e-02  1.10240000e-02  2.03970000e-02  1.80190000e-02  1.34159700e+00  
Particle_7      2.44629616e+03  2.44629617e+03  9.59916000e-01  2.36700000e-02  1.10240000e-02  2.14120000e-02  1.80190000e-02  1.46489100e+00  
Particle_8      2.44629617e+03  2.44629617e+03  9.59916000e-01  2.32910000e-02  1.10240000e-02  2.06770000e-02  1.90460000e-02  1.34159700e+00  
