Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.56900575e+03  2.56900575e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_2      2.56900575e+03  2.56900575e+03  8.84391000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_3      2.56900575e+03  2.57162082e+03  9.57314000e-01  2.55350000e-02  1.40370000e-02  1.94200000e-02  1.85990000e-02  1.44706600e+00  
Particle_4      2.57162082e+03  2.57162082e+03  8.82848000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_5      2.57162082e+03  2.57162082e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_6      2.57162082e+03  2.57162082e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_7      2.57162082e+03  2.57162082e+03  9.57314000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
Particle_8      2.57162082e+03  2.57162082e+03  1.04693300e+00  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.44706600e+00  
