Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.86524416e+03  2.86524416e+03  8.61034000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.22445200e+00  
Particle_2      2.86524416e+03  2.86524416e+03  8.61034000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.22445200e+00  
Particle_3      2.86524416e+03  2.86524416e+03  8.61034000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_4      2.86524416e+03  2.86896828e+03  8.61034000e-01  2.23820000e-02  1.40370000e-02  1.94540000e-02  1.93060000e-02  1.22445200e+00  
Particle_5      2.86896828e+03  2.95839184e+03  8.28472000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  2.02540000e-02  1.22445200e+00  
Particle_6      2.95839184e+03  2.95839184e+03  8.61034000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_7      2.95839184e+03  2.95839185e+03  8.61034000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.22445200e+00  
Particle_8      2.95839185e+03  2.95839185e+03  8.79532000e-01  2.23820000e-02  1.40370000e-02  1.94540000e-02  1.93060000e-02  1.22445200e+00  
