Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.51854225e+03  2.51854225e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_2      2.51854225e+03  2.51854225e+03  9.70342000e-01  2.31310000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.39570900e+00  
Particle_3      2.51854225e+03  2.51854225e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_4      2.51854225e+03  2.53306454e+03  9.70342000e-01  2.31310000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.39570900e+00  
Particle_5      2.53306454e+03  2.53306454e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_6      2.53306454e+03  2.53306454e+03  9.70342000e-01  2.43370000e-02  1.37160000e-02  1.98210000e-02  1.86700000e-02  1.47230700e+00  
Particle_7      2.53306454e+03  2.53306454e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.39570900e+00  
Particle_8      2.53306454e+03  2.53306463e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.98210000e-02  1.98940000e-02  1.41506100e+00  
