Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.44792569e+03  2.44792569e+03  9.59916000e-01  2.36700000e-02  1.10660000e-02  2.01440000e-02  1.80190000e-02  1.34159700e+00  
Particle_2      2.44792569e+03  2.44792569e+03  9.59916000e-01  2.46480000e-02  1.10660000e-02  2.06980000e-02  1.76540000e-02  1.34159700e+00  
Particle_3      2.44792569e+03  2.44792576e+03  9.59916000e-01  2.36700000e-02  1.10660000e-02  2.01440000e-02  1.80190000e-02  1.34159700e+00  
Particle_4      2.44792576e+03  2.44792578e+03  9.59916000e-01  2.46480000e-02  1.10660000e-02  2.06980000e-02  1.80190000e-02  1.34159700e+00  
Particle_5      2.44792578e+03  2.44983628e+03  9.59916000e-01  2.36700000e-02  1.10660000e-02  2.01440000e-02  1.76540000e-02  1.34159700e+00  
Particle_6      2.44983628e+03  2.44983639e+03  9.59916000e-01  2.36700000e-02  1.10660000e-02  2.06980000e-02  1.76540000e-02  1.34159700e+00  
Particle_7      2.44983639e+03  2.44983643e+03  9.59916000e-01  2.46480000e-02  1.10660000e-02  2.01440000e-02  1.80190000e-02  1.34159700e+00  
Particle_8      2.44983643e+03  2.44983645e+03  1.04091500e+00  2.46480000e-02  1.10660000e-02  2.01440000e-02  1.82740000e-02  1.34159700e+00  
