Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.51184950e+03  2.51184964e+03  9.70342000e-01  2.56890000e-02  1.26150000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_2      2.51184964e+03  2.51184964e+03  9.70342000e-01  2.43370000e-02  1.26150000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_3      2.51184964e+03  2.51184964e+03  9.57072000e-01  2.56890000e-02  1.27350000e-02  1.98210000e-02  1.86700000e-02  1.47209000e+00  
Particle_4      2.51184964e+03  2.51854225e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.88160000e-02  1.86700000e-02  1.39570900e+00  
Particle_5      2.51854225e+03  2.51854225e+03  1.05249100e+00  2.56890000e-02  1.26150000e-02  1.94940000e-02  1.86700000e-02  1.39570900e+00  
Particle_6      2.51854225e+03  2.51854225e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_7      2.51854225e+03  2.51854225e+03  9.70342000e-01  2.56890000e-02  1.26150000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_8      2.51854225e+03  2.51854225e+03  9.70342000e-01  2.43370000e-02  1.27350000e-02  1.98210000e-02  1.98110000e-02  1.39570900e+00  
