Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.46827418e+03  2.47430926e+03  9.59916000e-01  2.56890000e-02  1.15990000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_2      2.47430926e+03  2.47430930e+03  9.59916000e-01  2.56890000e-02  1.21760000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_3      2.47430930e+03  2.47430930e+03  9.59916000e-01  2.49470000e-02  1.15990000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_4      2.47430930e+03  2.47430930e+03  9.59916000e-01  2.56890000e-02  1.15990000e-02  2.06980000e-02  1.71550000e-02  1.39570900e+00  
Particle_5      2.47430930e+03  2.47430930e+03  9.59916000e-01  2.64810000e-02  1.15990000e-02  1.98210000e-02  1.86700000e-02  1.39570900e+00  
Particle_6      2.47430930e+03  2.47430930e+03  9.59916000e-01  2.56890000e-02  1.15990000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_7      2.47430930e+03  2.47430941e+03  9.59916000e-01  2.56890000e-02  1.10660000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
Particle_8      2.47430941e+03  2.47430941e+03  9.59916000e-01  2.64350000e-02  1.20680000e-02  2.06980000e-02  1.86700000e-02  1.39570900e+00  
