Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.55490585e+03  2.55903018e+03  9.70342000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_2      2.55903018e+03  2.55903021e+03  9.70342000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.39327300e+00  
Particle_3      2.55903021e+03  2.55903023e+03  9.70342000e-01  2.40770000e-02  1.50660000e-02  1.94200000e-02  1.98940000e-02  1.50284600e+00  
Particle_4      2.55903023e+03  2.55903023e+03  9.70342000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_5      2.55903023e+03  2.55903023e+03  9.70342000e-01  2.36390000e-02  1.40370000e-02  2.03370000e-02  1.98940000e-02  1.52989200e+00  
Particle_6      2.55903023e+03  2.55903023e+03  9.70342000e-01  2.36390000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_7      2.55903023e+03  2.55903023e+03  9.70342000e-01  2.29410000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
Particle_8      2.55903023e+03  2.55903028e+03  9.81446000e-01  2.40770000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.52989200e+00  
