Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.43922583e+03  2.43922583e+03  9.59916000e-01  2.48420000e-02  1.07790000e-02  2.05620000e-02  1.80190000e-02  1.44908600e+00  
Particle_2      2.43922583e+03  2.43931197e+03  9.59916000e-01  2.48420000e-02  1.07790000e-02  2.05620000e-02  1.80190000e-02  1.46489100e+00  
Particle_3      2.43931197e+03  2.43931206e+03  9.59916000e-01  2.48420000e-02  1.07790000e-02  2.05620000e-02  1.80190000e-02  1.46489100e+00  
Particle_4      2.43931206e+03  2.43931215e+03  9.59916000e-01  2.48420000e-02  1.07790000e-02  2.05620000e-02  1.64190000e-02  1.35789600e+00  
Particle_5      2.43931215e+03  2.43931215e+03  9.59916000e-01  2.48420000e-02  1.07790000e-02  2.05620000e-02  1.89930000e-02  1.44908600e+00  
Particle_6      2.43931215e+03  2.43931215e+03  9.59916000e-01  2.48420000e-02  9.83000000e-03  2.05620000e-02  1.80190000e-02  1.39745000e+00  
Particle_7      2.43931215e+03  2.43931215e+03  9.59916000e-01  2.48420000e-02  1.16710000e-02  2.05620000e-02  1.80190000e-02  1.46489100e+00  
Particle_8      2.43931215e+03  2.43931215e+03  9.59916000e-01  2.48420000e-02  1.07790000e-02  2.14120000e-02  1.80190000e-02  1.46489100e+00  
