Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      2.95839185e+03  2.99779880e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_2      2.99779880e+03  3.10474601e+03  8.61034000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_3      3.10474601e+03  3.10474601e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_4      3.10474601e+03  3.10474601e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_5      3.10474601e+03  3.10474601e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.98940000e-02  1.22445200e+00  
Particle_6      3.10474601e+03  3.10474601e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_7      3.10474601e+03  3.10474601e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_8      3.10474601e+03  3.10474601e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
