Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      5.20428176e+03  6.82046070e+03  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_2      6.82046070e+03  1.26629710e+04  8.34497000e-01  2.23820000e-02  3.59374400e+00  1.94200000e-02  5.13150000e-02  1.22445200e+00  
Particle_3      1.26629710e+04  1.26805911e+04  2.55643700e+00  1.61385487e+02  2.28324000e-01  4.60925000e-01  1.15200000e-03  7.95600000e-03  
Particle_4      1.26805911e+04  1.37665887e+04  2.33496900e+00  2.23820000e-02  2.28324000e-01  4.60925000e-01  1.15200000e-03  7.39100000e-03  
Particle_5      1.37665887e+04  1.42114286e+04  8.34497000e-01  1.61385487e+02  3.59374400e+00  1.94200000e-02  5.13150000e-02  1.22718900e+00  
Particle_6      1.42114286e+04  1.42549420e+04  8.34497000e-01  1.61385487e+02  2.28324000e-01  4.60925000e-01  1.15200000e-03  1.22718900e+00  
Particle_7      1.42549420e+04  1.42592240e+04  2.33496900e+00  2.23820000e-02  3.59374400e+00  1.94200000e-02  5.13150000e-02  7.39100000e-03  
Particle_8      1.42592240e+04  1.57149773e+04  8.34497000e-01  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
