Particle        Fit_M0          Fit_M1          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      3.10474601e+03  5.20428176e+03  8.34497000e-01  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_2      5.20428176e+03  5.20428176e+03  9.15361000e-01  1.61385487e+02  2.28324000e-01  3.63480000e-02  1.93060000e-02  1.22718900e+00  
Particle_3      5.20428176e+03  6.30597174e+03  7.58207000e-01  6.36600000e-03  1.40370000e-02  4.60925000e-01  1.15200000e-03  1.44866000e-01  
Particle_4      6.30597174e+03  6.79062009e+03  8.34497000e-01  2.23820000e-02  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.22445200e+00  
Particle_5      6.79062009e+03  6.82046070e+03  8.34497000e-01  6.36600000e-03  3.59374400e+00  3.63480000e-02  5.13150000e-02  1.44866000e-01  
Particle_6      6.82046070e+03  6.82046070e+03  8.34497000e-01  6.36600000e-03  1.40370000e-02  1.94200000e-02  5.13150000e-02  1.22445200e+00  
Particle_7      6.82046070e+03  7.51029562e+03  8.34497000e-01  2.23820000e-02  3.59374400e+00  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_8      7.51029562e+03  8.17529018e+03  8.34497000e-01  6.36600000e-03  1.40370000e-02  4.60925000e-01  1.15200000e-03  1.44866000e-01  
