Particle        Fit_M0          Fit_M1          Fit_M2          Fit_M3          K2RT            KD1             kdephos         km1             km2             kphos           
Particle_1      5.20428172e+03  5.31622556e+03  6.80055728e+03  6.80055728e+03  3.15316905e+02  6.36600000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_2      6.80055728e+03  6.82046064e+03  6.82046064e+03  6.82046064e+03  3.15316905e+02  1.61385487e+02  3.59374400e+00  3.32290000e-02  1.15200000e-03  1.22718900e+00  
Particle_3      8.75965859e+03  8.75999383e+03  9.62172565e+03  9.62172565e+03  8.20242000e-01  6.36600000e-03  1.40370000e-02  1.94200000e-02  1.93060000e-02  1.44866000e-01  
Particle_4      9.62172565e+03  9.62184204e+03  9.62184204e+03  9.62184204e+03  3.15316905e+02  6.36600000e-03  3.24858400e+00  1.94200000e-02  1.93060000e-02  1.44866000e-01  
Particle_5      1.31863612e+04  1.31863612e+04  1.31863612e+04  1.35145533e+04  8.34497000e-01  1.61385487e+02  1.40370000e-02  3.63480000e-02  1.15200000e-03  1.22718900e+00  
Particle_6      1.56394981e+04  1.56394981e+04  1.56394981e+04  1.56931549e+04  8.34497000e-01  6.03100000e-03  1.40370000e-02  3.63480000e-02  1.93060000e-02  1.44866000e-01  
Particle_7      1.57149773e+04  1.57149773e+04  1.60148992e+04  1.60148992e+04  3.15316905e+02  1.61385487e+02  3.59374400e+00  1.94200000e-02  1.15200000e-03  1.22718900e+00  
Particle_8      1.60148992e+04  1.60492878e+04  1.60492878e+04  1.60492878e+04  8.34497000e-01  1.61385487e+02  3.59374400e+00  2.12750000e-02  1.15200000e-03  1.17075000e+00  
