Particle	Model	Fit_Rank	Constraint_Rank	Final_Rank
8	3	17	1	1
1	3	2	1	1
2	2	4	1	1
2	3	4	1	1
3	2	6	1	1
3	3	6	1	1
4	2	8	1	1
4	3	8	1	1
5	2	9	1	1
5	3	10	1	1
6	2	11	1	1
6	3	12	1	1
7	2	14	1	1
7	3	15	1	1
8	2	17	1	1
1	2	1	1	1
4	1	7	2	2
5	1	9	2	2
6	1	11	2	2
3	1	5	2	2
7	1	13	2	2
2	1	3	2	2
8	1	16	2	2
1	1	1	2	2
