Particle	Model	Fit_Rank	Constraint_Rank	Final_Rank
8	3	20	1	1
1	3	3	1	1
2	2	4	1	1
2	3	5	1	1
3	2	6	1	1
3	3	7	1	1
4	2	8	1	1
4	3	9	1	1
5	2	11	1	1
5	3	12	1	1
6	2	14	1	1
6	3	15	1	1
7	2	17	1	1
7	3	18	1	1
8	2	20	1	1
1	2	2	1	1
4	1	8	2	2
5	1	10	2	2
6	1	13	2	2
3	1	6	2	2
7	1	16	2	2
2	1	4	2	2
8	1	19	2	2
1	1	1	2	2
